TE,COTA_TE,P_ENTRADA,LONGITUD,KV,TS,COTA_TS,P_SALIDA
0,917.599997,-0.028084,0.534,,0.534,917.585,-0.028084
0.534,917.585,-0.028084,52.932,-7000,53.466,915.898,-0.035645
53.466,915.898,-0.035645,57.922,,111.388,913.834,-0.035645
111.388,913.834,-0.035645,153.224,5000,264.612,910.72,-0.005000
264.612,910.72,-0.005000,209.528,,474.140,909.672,-0.005000
474.140,909.672,-0.005000,307.720,-6000,781.860,900.243,-0.056287
781.860,900.243,-0.056287,98.207,,880.067,894.715,-0.056287
880.067,894.715,-0.056287,191.866,3000,1071.933,890.051,0.007669
1071.933,890.051,0.007669,138.249,,1210.182,891.111,0.007669
1210.182,891.111,0.007669,179.636,-7000,1389.818,890.184,-0.017993
1389.818,890.184,-0.017993,1.683,,1391.501,890.154,-0.017993
1391.501,890.154,-0.017993,134.998,10000,1526.499,888.636,-0.004494
1526.499,888.636,-0.004494,181.115,,1707.614,887.822,-0.004494
1707.614,887.822,-0.004494,126.772,8000,1834.386,888.257,0.011353
1834.386,888.257,0.011353,168.218,,2002.604,890.166,0.011353
2002.604,890.166,0.011353,216.792,-5000,2219.396,887.928,-0.032006
2219.396,887.928,-0.032006,417.486,,2636.882,874.566,-0.032006
2636.882,874.566,-0.032006,125.976,-4500,2762.858,868.771,-0.060000
2762.858,868.771,-0.060000,68.730,,2831.588,864.647,-0.060000
2831.588,864.647,-0.060000,511.088,5000,3342.676,860.102,0.042217
3342.676,860.102,0.042217,113.239,,3455.915,864.883,0.042217
3455.915,864.883,0.042217,202.544,-10000,3658.459,871.383,0.021963
3658.459,871.383,0.021963,663.336,,4321.795,885.951,0.021963
4321.795,885.951,0.021963,184.410,-5000,4506.205,886.601,-0.014919
4506.205,886.601,-0.014919,110.808,,4617.013,884.948,-0.014919
4617.013,884.948,-0.014919,189.974,10000,4806.987,883.918,0.004078
4806.987,883.918,0.004078,198.274,,5005.261,884.726,0.004078
5005.261,884.726,0.004078,179.478,5000,5184.739,888.68,0.039974
5184.739,888.68,0.039974,17.237,,5201.976,889.369,0.039974
5201.976,889.369,0.039974,376.048,-5600,5578.024,891.775,-0.027178
5578.024,891.775,-0.027178,181.045,,5759.069,886.854,-0.027178
5759.069,886.854,-0.027178,161.862,4000,5920.931,885.73,0.013288
5920.931,885.73,0.013288,179.125,,6100.056,888.11,0.013288
6100.056,888.11,0.013288,131.888,-8000,6231.944,888.776,-0.003198
6231.944,888.776,-0.003198,65.328,,6297.272,888.567,-0.003198
6297.272,888.567,-0.003198,199.456,9000,6496.728,890.139,0.018964
6496.728,890.139,0.018964,20.136,,6516.864,890.521,0.018964
6516.864,890.521,0.018964,174.790,-7000,6691.654,891.653,-0.006006
6691.654,891.653,-0.006006,68.471,,6760.125,891.242,-0.006006
6760.125,891.242,-0.006006,121.750,6200,6881.875,891.706,0.013631
6881.875,891.706,0.013631,470.369,,7352.244,898.118,0.013631
7352.244,898.118,0.013631,131.512,-15000,7483.756,899.334,0.004863
7483.756,899.334,0.004863,492.074,,7975.830,901.727,0.004863
7975.830,901.727,0.004863,178.340,4500,8154.170,906.128,0.044494
8154.170,906.128,0.044494,477.044,,8631.214,927.354,0.044494
8631.214,927.354,0.044494,200.572,-5700,8831.786,932.749,0.009306
8831.786,932.749,0.009306,243.634,,9075.420,935.017,0.009306
9075.420,935.017,0.009306,223.160,-7500,9298.580,933.774,-0.020448
9298.580,933.774,-0.020448,40.670,,9339.250,932.942,-0.020448
9339.250,932.942,-0.020448,203.500,9000,9542.750,931.081,0.002163
9542.750,931.081,0.002163,509.741,,10052.491,932.184,0.002163
10052.491,932.184,0.002163,121.018,8000,10173.509,933.361,0.017290
10173.509,933.361,0.017290,368.722,,10542.231,939.736,0.017290
10542.231,939.736,0.017290,126.538,-12000,10668.769,941.257,0.006745
10668.769,941.257,0.006745,202.104,,10870.873,942.62,0.006745
10870.873,942.62,0.006745,146.254,7000,11017.127,945.134,0.027638
11017.127,945.134,0.027638,79.676,,11096.803,947.336,0.027638
11096.803,947.336,0.027638,230.394,-5000,11327.197,948.396,-0.018440
11327.197,948.396,-0.018440,305.420,,11632.617,942.764,-0.018440
11632.617,942.764,-0.018440,222.766,-10000,11855.383,936.175,-0.040717
11855.383,936.175,-0.040717,80.759,,11936.142,932.886,-0.040717
11936.142,932.886,-0.040717,133.716,3500,12069.858,929.996,-0.002512
12069.858,929.996,-0.002512,31.985,,12101.843,929.916,-0.002512
12101.843,929.916,-0.002512,76.314,5000,12178.157,930.307,0.012751
12178.157,930.307,0.012751,351.401,,12529.558,934.787,0.012751
12529.558,934.787,0.012751,134.884,10000,12664.442,937.417,0.026239
